request_id,disability_category,accommodation_category,employee_tenure_years,hourly_wage_usd,has_college_degree,is_cost_incurred,accommodation_cost_usd,request_severity_level,remote_work_status,department,hr_reviewer_id,approval_status,denial_reason,days_to_implement,retained_6mo
REQ-1196,Cognitive/Neurological,Schedule modification,5.1,26.87,1,0,0.0,High,On-site,Engineering,HR-101,Denied,Undue Hardship,,0
REQ-1197,Physical/Mobility,Communication aid,1.2,26.34,1,1,881.95,Low,Hybrid,Customer Support,HR-101,Denied,Lack of Documentation,,1
REQ-1198,Chronic Medical,Policy modification,3.8,38.02,1,1,117.65,Medium,Hybrid,Customer Support,HR-108,Approved,N/A,20.0,1
REQ-1199,Mental Health,Assistive technology,7.7,24.24,1,1,480.71,Low,Remote,Operations,HR-103,Partially Approved,N/A,3.0,1
REQ-1200,Sensory,Communication aid,8.6,35.47,0,0,0.0,High,On-site,Customer Support,HR-105,Approved,N/A,5.0,1
REQ-1201,Cognitive/Neurological,Physical workspace,1.7,24.56,1,0,0.0,Medium,Remote,Operations,HR-101,Approved,N/A,20.0,1
REQ-1202,Physical/Mobility,Assistive technology,13.5,22.09,1,0,0.0,Low,Hybrid,Customer Support,HR-105,Approved,N/A,5.0,1
REQ-1203,Physical/Mobility,Assistive technology,8.8,20.63,1,0,0.0,Low,Hybrid,Engineering,HR-106,Denied,Alternative Offered,,0
REQ-1204,Mental Health,Schedule modification,9.1,30.05,1,1,243.47,Low,Hybrid,Finance,HR-108,Partially Approved,N/A,8.0,1
REQ-1205,Cognitive/Neurological,Schedule modification,4.1,30.7,0,0,0.0,Low,Hybrid,Customer Support,HR-103,Denied,Lack of Documentation,,0
REQ-1206,Chronic Medical,Physical workspace,10.3,25.5,1,0,0.0,High,On-site,Sales,HR-103,Approved,N/A,31.0,1
REQ-1207,Cognitive/Neurological,Physical workspace,13.2,28.17,0,0,0.0,Medium,Hybrid,Customer Support,HR-110,Denied,Lack of Documentation,,1
REQ-1208,Mental Health,Schedule modification,4.1,16.11,1,1,86.6,Medium,Hybrid,Engineering,HR-109,Denied,Alternative Offered,,1
REQ-1209,Mental Health,Communication aid,1.9,14.76,1,1,540.11,Medium,Hybrid,Customer Support,HR-104,Approved,N/A,36.0,1
REQ-1210,Cognitive/Neurological,Policy modification,1.9,28.73,1,1,194.0,Medium,Remote,Customer Support,HR-104,Partially Approved,N/A,40.0,0
REQ-1211,Mental Health,Schedule modification,3.9,21.87,0,0,0.0,Low,On-site,Sales,HR-107,Partially Approved,N/A,31.0,1
REQ-1212,Cognitive/Neurological,Communication aid,16.9,26.25,1,0,0.0,Low,Remote,Finance,HR-102,Denied,Lack of Documentation,,0
REQ-1213,Sensory,Communication aid,10.5,18.91,1,1,1474.28,Medium,On-site,Customer Support,HR-108,Denied,Undue Hardship,,1
REQ-1214,Cognitive/Neurological,Communication aid,2.8,30.78,0,1,667.47,High,On-site,Sales,HR-106,Partially Approved,N/A,31.0,1
REQ-1215,Cognitive/Neurological,Schedule modification,4.7,14.8,1,0,0.0,Low,On-site,Customer Support,HR-103,Denied,Ineligible,,1
REQ-1216,Mental Health,Physical workspace,3.5,15.57,1,1,1160.58,Low,On-site,Finance,HR-109,Denied,Undue Hardship,,1
REQ-1217,Mental Health,Assistive technology,7.4,29.72,1,1,497.0,Medium,Hybrid,Engineering,HR-105,Approved,N/A,13.0,1
REQ-1218,Physical/Mobility,Physical workspace,3.8,9.45,0,1,1774.41,High,On-site,Sales,HR-108,Denied,Alternative Offered,,0
REQ-1219,Physical/Mobility,Communication aid,3.8,24.39,1,1,7588.77,Low,On-site,Engineering,HR-107,Approved,N/A,10.0,1
REQ-1220,Sensory,Physical workspace,6.2,21.96,0,0,0.0,Medium,Remote,Engineering,HR-108,Approved,N/A,12.0,1
REQ-1221,Physical/Mobility,Policy modification,0.7,18.82,0,0,0.0,High,Hybrid,Operations,HR-107,Approved,N/A,3.0,1
REQ-1222,Cognitive/Neurological,Policy modification,3.8,21.5,1,0,0.0,Low,Hybrid,Operations,HR-103,Denied,Ineligible,,0
REQ-1223,Mental Health,Policy modification,5.0,18.26,0,1,95.48,Low,Remote,Sales,HR-102,Denied,Lack of Documentation,,1
REQ-1224,Physical/Mobility,Assistive technology,5.0,30.21,1,1,551.21,Medium,Hybrid,Customer Support,HR-107,Approved,N/A,13.0,1
REQ-1225,Physical/Mobility,Schedule modification,2.8,31.52,1,1,208.34,High,On-site,Sales,HR-103,Approved,N/A,7.0,1
REQ-1226,Sensory,Assistive technology,16.9,19.07,0,0,0.0,Low,On-site,Finance,HR-103,Approved,N/A,6.0,1
REQ-1227,Sensory,Policy modification,12.1,23.88,0,1,159.77,Medium,Hybrid,Finance,HR-102,Approved,N/A,9.0,1
REQ-1228,Cognitive/Neurological,Schedule modification,2.3,15.87,1,1,172.58,Medium,On-site,Sales,HR-104,Partially Approved,N/A,13.0,1
REQ-1229,Mental Health,Assistive technology,8.2,27.87,1,1,221.59,Medium,Hybrid,Operations,HR-108,Approved,N/A,46.0,0
REQ-1230,Sensory,Schedule modification,2.5,27.74,1,1,95.23,Medium,On-site,Operations,HR-101,Approved,N/A,24.0,1
REQ-1231,Physical/Mobility,Physical workspace,4.9,21.02,1,1,1129.01,Medium,On-site,Sales,HR-101,Partially Approved,N/A,28.0,1
REQ-1232,Mental Health,Policy modification,6.8,22.58,1,0,0.0,Medium,Hybrid,Sales,HR-105,Approved,N/A,12.0,1
REQ-1233,Mental Health,Policy modification,9.8,22.03,1,0,0.0,Medium,Hybrid,Customer Support,HR-105,Denied,Undue Hardship,,1
REQ-1234,Physical/Mobility,Schedule modification,4.3,14.41,1,0,0.0,Medium,Hybrid,Operations,HR-101,Approved,N/A,15.0,1
REQ-1235,Sensory,Communication aid,4.2,30.23,1,0,0.0,Medium,Hybrid,Finance,HR-106,Denied,Lack of Documentation,,0
REQ-1236,Physical/Mobility,Physical workspace,3.3,18.67,1,1,1545.09,High,On-site,Operations,HR-101,Denied,Alternative Offered,,0
REQ-1237,Mental Health,Assistive technology,4.6,18.7,1,1,490.43,Low,On-site,Operations,HR-105,Partially Approved,N/A,13.0,1
REQ-1238,Chronic Medical,Physical workspace,1.3,21.75,1,0,0.0,Medium,Remote,Customer Support,HR-109,Approved,N/A,32.0,1
REQ-1239,Chronic Medical,Assistive technology,19.5,27.48,0,0,0.0,Medium,Hybrid,Operations,HR-105,Approved,N/A,8.0,0
REQ-1240,Cognitive/Neurological,Assistive technology,2.0,19.54,1,1,361.6,Low,On-site,Operations,HR-106,Denied,Undue Hardship,,1
REQ-1241,Physical/Mobility,Physical workspace,6.5,12.74,0,0,0.0,Medium,Hybrid,Sales,HR-108,Approved,N/A,2.0,1
REQ-1242,Physical/Mobility,Schedule modification,6.7,18.07,0,0,0.0,Medium,On-site,Customer Support,HR-101,Approved,N/A,15.0,1
REQ-1243,Cognitive/Neurological,Assistive technology,7.3,24.62,1,0,0.0,Low,On-site,Operations,HR-102,Denied,Ineligible,,1
REQ-1244,Cognitive/Neurological,Assistive technology,16.0,33.45,0,0,0.0,Low,On-site,Engineering,HR-109,Partially Approved,N/A,13.0,1
REQ-1245,Cognitive/Neurological,Schedule modification,5.4,16.2,1,0,0.0,Low,Hybrid,Operations,HR-103,Denied,Lack of Documentation,,1
REQ-1246,Mental Health,Assistive technology,2.0,16.02,1,0,0.0,Low,Hybrid,Engineering,HR-106,Denied,Undue Hardship,,0
REQ-1247,Physical/Mobility,Physical workspace,20.8,14.94,1,0,0.0,Medium,On-site,Customer Support,HR-105,Approved,N/A,13.0,1
REQ-1248,Mental Health,Physical workspace,0.4,14.32,1,1,1139.74,Low,Remote,Operations,HR-102,Partially Approved,N/A,21.0,1
REQ-1249,Cognitive/Neurological,Policy modification,1.2,28.53,1,0,0.0,Medium,On-site,Sales,HR-107,Denied,Ineligible,,0
REQ-1250,Physical/Mobility,Policy modification,14.8,29.97,1,1,222.4,Medium,On-site,Sales,HR-104,Approved,N/A,9.0,1
REQ-1251,Mental Health,Physical workspace,5.9,23.39,1,0,0.0,High,On-site,Sales,HR-101,Approved,N/A,23.0,1
REQ-1252,Mental Health,Physical workspace,8.4,20.16,0,0,0.0,Medium,On-site,Operations,HR-104,Denied,Lack of Documentation,,1
REQ-1253,Cognitive/Neurological,Schedule modification,3.6,31.46,1,1,142.03,Low,On-site,Engineering,HR-106,Partially Approved,N/A,20.0,1
REQ-1254,Physical/Mobility,Assistive technology,2.9,23.37,0,0,0.0,Medium,Hybrid,Finance,HR-107,Approved,N/A,9.0,1
REQ-1255,Cognitive/Neurological,Assistive technology,1.4,27.95,1,0,0.0,Low,Hybrid,Engineering,HR-107,Denied,Lack of Documentation,,1
REQ-1256,Physical/Mobility,Schedule modification,19.4,19.92,1,0,0.0,Medium,Hybrid,Finance,HR-107,Approved,N/A,7.0,1
REQ-1257,Chronic Medical,Assistive technology,2.4,22.72,0,0,0.0,High,On-site,Finance,HR-103,Approved,N/A,32.0,1
REQ-1258,Sensory,Assistive technology,3.4,16.31,1,0,0.0,Low,On-site,Customer Support,HR-106,Approved,N/A,5.0,1
REQ-1259,Sensory,Policy modification,2.4,25.65,1,0,0.0,Low,On-site,Customer Support,HR-108,Approved,N/A,2.0,1
